product_id,product_name,product_url
9594896974121,Champai|Block Print Front Tie Top,https://www.virgio.com/products/artisans-aura-jaipur-hand-block-print-elasticated-waist-crop-top
9594897006889,Frangipani|Block Print Tie-Up Neck Dress,https://www.virgio.com/products/artisans-aura-jaipur-hand-block-print-tie-up-neck-dress
9594897039657,Jarul|Hand Block Print Wrap Skirt,https://www.virgio.com/products/artisans-aura-handcrafted-jaipur-hand-block-print-wrap-skirt
9594897105193,Jamun|Block Print Tie-Up Top,https://www.virgio.com/products/artisans-aura-jaipur-hand-block-print-crop-top
9594897072425,Kachnar|Block Print Elasticated Waist Top,https://www.virgio.com/products/artisans-aura-jaipur-hand-block-print-elasticated-waist-top
9625389793577,Tricia|Black Embellished Midi Dress,https://www.virgio.com/products/party-wear-black-embellished-midi-dress
9625389826345,Ryah|Black Embellished Dolman Top,https://www.virgio.com/products/party-wear-black-embellished-dolman-top
9625389891881,Roz|Maroon Embellished Midi Dress,https://www.virgio.com/products/party-wear-maroon-embellished-midi-dress
9625389859113,Bayla|Maroon Embellished Dolman Top,https://www.virgio.com/products/party-wear-maroon-embellished-dolman-top
9630174806313,Frozy|Back Cutout Mini Dress,https://www.virgio.com/products/retro-back-cutout-mini-dress
9634191638825,May|Embroidered Distressed Wash Tee,https://www.virgio.com/products/academic-edge-hit2-embroidered-distressed-wash-tee
9634191573289,Yosha|Grey Overlap Knit Tee,https://www.virgio.com/products/academic-edge-hit2-grey-overlap-knit-tee
9634191540521,Ollie|Distressed Wash Embroidered Tee,https://www.virgio.com/products/academic-edge-hit2-distressed-wash-embroidered-tee
9599206916393,Zorelle|Purple Tie Detail Dress,https://www.virgio.com/products/autumn-pop-purple-tie-detail-dress
9599207309609,Abril|Pink Strappy Midi Dress,https://www.virgio.com/products/autumn-pop-pink-strappy-midi-dress
9607173898537,Jayden|Blue Straight Flared Denims,https://www.virgio.com/products/denim-daze-hit4-blue-straight-flared-denims
9599207080233,Renata|Blue Strappy Midi Dress,https://www.virgio.com/products/autumn-pop-blue-strappy-midi-dress
9604534599977,Elyanna|Off-Shoulder Sweatshirt,https://www.virgio.com/products/academic-edge-hit1-off-shoulder-sweatshirt
9604534632745,Ayla Shorts|Pink Pull-On Shorts,https://www.virgio.com/products/academic-edge-hit1-pink-pull-on-shorts
9604534731049,Pola Shorts|Blue Pull-On Shorts,https://www.virgio.com/products/academic-edge-hit1-blue-pull-on-shorts
9604534829353,Ayla Hoodie|Cropped Boxy Pink Hoodie,https://www.virgio.com/products/academic-edge-hit1-cropped-boxy-pink-hoodie
9599207211305,Palmira Shirt|Abstract Floral Printed Shirt,https://www.virgio.com/products/autumn-pop-abstract-floral-printed-shirt
9599207047465,Paz Top|Abstract Floral Strappy Top,https://www.virgio.com/products/autumn-pop-abstract-floral-strappy-top
9599206949161,Valentina|Green Milkmaid Midi Dress,https://www.virgio.com/products/autumn-pop-green-milkmaid-midi-dress
9599206883625,Louisa Top|Floral Regular Strappy Top,https://www.virgio.com/products/autumn-pop-floral-regular-strappy-top
9607173996841,Capri|Peplum Denim Cami Top,https://www.virgio.com/products/denim-daze-hit4-peplum-denim-cami-top
9607174062377,Archer|Blue Regular Flared Denims,https://www.virgio.com/products/denim-daze-hit4-blue-regular-flared-denims
9604534796585,Pola|Cropped Hoodie & Shorts Co-ord,https://www.virgio.com/products/academic-edge-hit1-cropped-hoodie-shorts-co-ord
9604534894889,Zoey|Oversized Black Sweater Vest,https://www.virgio.com/products/academic-edge-hit1-oversized-black-sweater-vest
9604534665513,Ayla|Hoodie & Shorts Co-ord Set,https://www.virgio.com/products/academic-edge-hit1-hoodie-shorts-co-ord-set
9608637055273,Precious|Smocked Peplum Top With Bow,https://www.virgio.com/products/soft-romance-smocked-peplum-top-with-bow
9604534763817,Kai|Cropped Elasticated Hoodie,https://www.virgio.com/products/academic-edge-hit1-cropped-elasticated-hoodie
9608637186345,Cookie|Black Bow Knot Tie-Up Top,https://www.virgio.com/products/soft-romance-black-bow-knot-tie-up-top
9608637088041,Dream|Halter Neck Tiered Dress,https://www.virgio.com/products/soft-romance-halter-neck-tiered-dress
9604534862121,Roper|Oversized V-Neck Sweater Vest,https://www.virgio.com/products/academic-edge-hit1-oversized-v-neck-sweater-vest
9604534698281,Pola Hoodie|Cropped Boxy Blue Hoodie,https://www.virgio.com/products/academic-edge-hit1-cropped-boxy-blue-hoodie
9591974592809,Amaz|High Neck Full Sleeve Top,https://www.virgio.com/products/light-winter-amaz-high-neck-full-sleeve-top
9599206981929,Louisa Pants|Floral Printed Pants,https://www.virgio.com/products/autumn-pop-floral-printed-pants
9599207113001,Paz Pants|Abstract Floral Printed Pants,https://www.virgio.com/products/autumn-pop-abstract-floral-printed-pants
9599207276841,Palmira Shorts|Abstract Floral Printed Shorts,https://www.virgio.com/products/autumn-pop-abstract-floral-printed-shorts
9599207178537,Louisa Shirt|Floral Printed Shirt,https://www.virgio.com/products/autumn-pop-floral-printed-shirt
9599207244073,Maura|Pink Tie Detail Dress,https://www.virgio.com/products/autumn-pop-pink-tie-detail-dress
